iter	MultiClass
0	1.858106337
1	1.789743507
2	1.735752872
3	1.691125377
4	1.653370632
5	1.621015542
6	1.59398679
7	1.570964144
8	1.550239464
9	1.533243761
10	1.517846721
11	1.504803743
12	1.493491903
13	1.483534714
14	1.474381374
15	1.466408091
16	1.459394453
17	1.452693203
18	1.447169372
19	1.441867886
20	1.437234649
21	1.433162206
22	1.429471897
23	1.426068567
24	1.422901465
25	1.420052499
26	1.416930198
27	1.414450495
28	1.412249368
29	1.410473768
30	1.40834945
31	1.406666009
32	1.404565876
33	1.40298272
34	1.401358441
35	1.399964775
36	1.398401578
37	1.397025027
38	1.395751628
39	1.394455202
40	1.393253869
41	1.392277248
42	1.3914035
43	1.390533681
44	1.389525404
45	1.388523033
46	1.387460778
47	1.386368006
48	1.385557092
49	1.384671504
50	1.383737743
51	1.382931812
52	1.381924557
53	1.381219749
54	1.380321657
55	1.379369207
56	1.378683941
57	1.377905112
58	1.37721163
59	1.376423579
60	1.375864341
61	1.375428245
62	1.374904881
63	1.374247292
64	1.373552739
65	1.372921616
66	1.372262204
67	1.371636294
68	1.371098931
69	1.370523357
70	1.369952076
71	1.36942069
72	1.368850986
73	1.368381537
74	1.367886356
75	1.367170679
76	1.366601723
77	1.366013923
78	1.365460285
79	1.364874697
80	1.364502632
81	1.364051972
82	1.363590048
83	1.363120535
84	1.362731573
85	1.362350937
86	1.361925004
87	1.361428053
88	1.361006671
89	1.360610004
90	1.360267672
91	1.359846091
92	1.359493755
93	1.359139692
94	1.358791865
95	1.358536269
96	1.358165007
97	1.357801288
98	1.357435883
99	1.357066778
100	1.356736548
101	1.356241163
102	1.355920731
103	1.355494568
104	1.355067695
105	1.354656193
106	1.354356025
107	1.354019258
108	1.353643635
109	1.353265402
110	1.352873988
111	1.352419919
112	1.352132059
113	1.351810702
114	1.351455594
115	1.351104621
116	1.350785901
117	1.350548855
118	1.350218237
119	1.349926629
120	1.349614215
121	1.349273257
122	1.348834597
123	1.348471508
124	1.348181994
125	1.347855533
126	1.347536704
127	1.34721255
128	1.346942078
129	1.346647473
130	1.346303124
131	1.345924306
132	1.345650796
133	1.345434483
134	1.345221361
135	1.344928234
136	1.34461727
137	1.34436741
138	1.344039566
139	1.343732856
140	1.343497349
141	1.343204499
142	1.34290391
143	1.342613835
144	1.342364256
145	1.342087026
146	1.341800753
147	1.341546258
148	1.341285489
149	1.341008602
150	1.340759182
151	1.340514412
152	1.340277739
153	1.340020436
154	1.339737857
155	1.339486601
156	1.339179521
157	1.338864819
158	1.33862023
